Ilhas,Número_Migrações,Tamanho_Migração,Probabilidade_random_random,PSO,DE,ACO,CLONAL,GA
2,9,42,0.477730,1,0,0,0,1
3,7,38,0.411160,2,0,0,0,1
4,8,37,0.863060,2,0,0,1,1
5,10,16,0.408380,2,0,0,2,1
6,9,27,0.737830,2,0,1,2,1
7,10,32,0.960860,1,0,2,2,2
8,9,23,0.607850,3,2,1,0,2
9,8,15,0.264410,4,1,1,0,3
10,10,14,0.440050,2,4,0,1,3
11,10,43,0.944230,5,0,1,1,4
12,10,28,0.697940,4,3,0,3,2
13,10,13,0.579980,3,4,0,2,4
14,8,36,0.327750,5,2,3,2,2
15,9,41,0.919670,4,1,3,0,7
16,7,24,0.868650,13,1,0,1,1
17,9,21,0.465900,9,3,0,0,5
18,8,25,0.289110,8,1,2,2,5
19,10,16,0.386040,4,0,5,3,7
20,7,22,0.221720,9,0,2,0,9
21,9,31,0.170540,11,6,0,2,2
22,10,39,0.311340,6,4,4,0,8
23,9,20,0.962510,13,1,4,2,3
24,9,11,0.157100,9,0,2,6,7
25,10,13,0.254980,7,9,1,5,3
26,10,31,0.577860,14,0,10,0,2
27,9,33,0.382450,15,5,2,2,3
28,9,43,0.921570,8,4,4,1,11
29,9,40,0.822440,9,3,2,10,5
30,10,36,0.659560,10,7,6,1,6
31,9,15,0.428550,7,4,2,8,10
32,10,20,0.337810,9,9,5,1,8
33,9,4,0.157330,9,17,1,3,3
34,10,39,0.606240,11,5,3,11,4
35,9,36,0.231220,6,12,9,1,7
36,10,29,0.781150,10,7,3,8,8
37,10,49,0.547520,7,9,9,10,2
38,10,21,0.435000,13,1,18,1,5
39,10,87,0.717520,15,2,2,10,10
40,9,25,0.146140,11,12,8,6,3
41,10,41,0.313920,9,8,1,8,15
42,9,26,0.207890,18,1,6,8,9
43,10,33,0.505710,13,7,11,10,2
44,10,24,0.667130,9,5,12,3,15
45,10,30,0.357830,14,8,8,1,14
46,10,29,0.826610,18,0,2,14,12
47,10,37,0.467020,16,4,13,11,3
48,10,6,0.654320,10,9,5,13,11
49,9,29,0.677860,16,9,0,11,13
50,10,26,0.435440,7,11,8,17,7
